code,name,programme_code,duration_days,fee_with_gst,is_capstone,recently_added,notes
ASKAME,AI Agents Made Easy: Let AI Do the Work for You,ASK,1,817.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKARM,"AI-Ready Mindset: Building Confidence, Adaptability & Human Skills In The AI Era",ASK,1,708.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKGAT,Generative AI Threats and Deepfake Detection Essentials,ASK,1,817.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKMPT,Mastering AI-powered tools for Administrative Productivity,ASK,1,817.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKCTG,Canva on the Go: High-Impact Designs on Mobile-devices,ASK,1,708.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKMVE,Mobile Video Editing with CapCut,ASK,1,708.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKDRT,Deep Relaxation Techniques for Working Adults,ASK,1,654.0,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKLPB,LinkedIn Personal Branding for Workplace Visibility and Success,ASK,1,708.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKSUL,Step Up to Leadership: The New Leader's Mindset Shift,ASK,1,817.5,false,true,"New H2 2026 soft-skill course, Hotel-delivered"
ASKEAM,Career Workshop (Employability),,1,,false,false,"Career department session — learner outcome support, scheduled by career team in TMS. Not a commercial course."
ASKIPW,Career Workshop (Interview Preparation),,1,,false,false,"Career department session — learner outcome support, scheduled by career team in TMS. Not a commercial course."
